Month,Rainfall
08-Jul,179.4
08-Aug,27.8
08-Sep,75.8
08-Oct,38.4
08-Nov,57.8
08-Dec,11.6
09-Jan,0.2
09-Feb,8.2
09-Mar,6.8
09-Apr,5
09-May,46
09-Jun,156.2
09-Jul,149.6
09-Aug,111
09-Sep,80.2
09-Oct,6.8
09-Nov,38.2
09-Dec,0
10-Jan,0
10-Feb,0.2
10-Mar,40.4
10-Apr,25
10-May,88.6
10-Jun,51.4
10-Jul,142
10-Aug,63
10-Sep,43.6
10-Oct,20.6
10-Nov,11.6
10-Dec,17.4
11-Jan,30.2
11-Feb,0.4
11-Mar,0
11-Apr,19.4
11-May,85
11-Jun,171.4
11-Jul,161
11-Aug,115.2
11-Sep,109.2
11-Oct,64.2
11-Nov,29
11-Dec,75.8
12-Jan,18.8
12-Feb,23.6
12-Mar,0.2
12-Apr,69.2
12-May,49
12-Jun,140.8
12-Jul,34.6
12-Aug,87.2
12-Sep,90.8
12-Oct,15.6
12-Nov,58.2
12-Dec,20.2
13-Jan,7.2
13-Feb,0.8
13-Mar,69.6
13-Apr,21
13-May,138.2
13-Jun,44
13-Jul,140
13-Aug,167.4
13-Sep,144.2
13-Oct,38
13-Nov,10.2
13-Dec,1.8
14-Jan,0.2
14-Feb,0
14-Mar,7.4
14-Apr,24.6
14-May,152.6
14-Jun,93.6
14-Jul,151.2
14-Aug,107
14-Sep,77
14-Oct,37
14-Nov,23.8
14-Dec,0
15-Jan,18.6
15-Feb,23.4
15-Mar,15.6
15-Apr,54
15-May,83.8
15-Jun,100.4
15-Jul,102.4
15-Aug,113
15-Sep,52
15-Oct,20.6
15-Nov,20.4
15-Dec,13.6
16-Jan,15.2
16-Feb,0.6
16-Mar,16.8
16-Apr,68.2
16-May,112
16-Jun,109.4
16-Jul,139.6
16-Aug,123.2
16-Sep,68.8
16-Oct,37.4
16-Nov,14.4
16-Dec,10.2
17-Jan,45.4
17-Feb,137.2
17-Mar,23.6
17-Apr,0
17-May,70.8
17-Jun,88